feature,importance
month,0.22665638470764382
day,0.20375899018399063
age,0.09252935077280663
balance,0.08366202347523663
poutcome,0.07744274841932827
contact,0.06286922217167074
campaign,0.05999083388973334
housing,0.05137886769393997
job,0.04881594240996944
marital,0.032194669817533064
loan,0.02107738789080286
education,0.02040296366606822
previous,0.01516494667928857
default,0.0035615499300875987
prev_contacted,0.0004941182919004051
